03-10-2015 12-58-28
Blocking per SRC-DST nodes

S	D	T	Req	Blocked	U	SimTime
12	5	0	72	0	0	418.8771270792352
12	5	1	28	0	0	418.8771270792352
6	2	0	79	0	0	420.1035579973246
6	2	1	21	0	0	420.1035579973246
6	11	0	72	0	0	422.02106600320394
6	11	1	28	0	0	422.02106600320394
14	10	0	76	0	0	445.2719310486509
14	10	1	24	2	2	445.2719310486509
10	9	0	82	0	0	455.54632576327265
10	9	1	18	0	0	455.54632576327265
12	9	0	82	0	0	457.95171711803755
12	9	1	18	0	0	457.95171711803755
14	3	0	80	0	0	465.4829043045794
14	3	1	20	0	0	465.4829043045794
2	6	0	79	0	0	467.2395427531537
2	6	1	21	0	0	467.2395427531537
11	7	0	80	0	0	469.6023197410326
11	7	1	20	0	0	469.6023197410326
2	12	0	72	0	0	469.82965772497624
2	12	1	28	0	0	469.82965772497624
6	12	0	78	0	0	471.6363802924907
6	12	1	22	0	0	471.6363802924907
14	7	0	82	0	0	472.80790095380235
14	7	1	18	0	0	472.80790095380235
3	4	0	83	0	0	474.61753975183933
3	4	1	17	0	0	474.61753975183933
10	4	0	79	0	0	476.2438086160812
10	4	1	21	0	0	476.2438086160812
7	11	0	83	0	0	476.81745744739237
7	11	1	17	0	0	476.81745744739237
12	2	0	85	0	0	477.92034208429794
12	2	1	15	0	0	477.92034208429794
10	3	0	80	0	0	480.0606790008235
10	3	1	20	0	0	480.0606790008235
2	3	0	78	0	0	482.7025190914515
2	3	1	22	0	0	482.7025190914515
12	7	0	86	0	0	484.1995341341526
12	7	1	14	0	0	484.1995341341526
5	12	0	86	0	0	485.47183420963796
5	12	1	14	0	0	485.47183420963796
4	1	0	80	0	0	487.37835249126925
4	1	1	20	0	0	487.37835249126925
3	6	0	83	0	0	487.8113628517748
3	6	1	17	0	0	487.8113628517748
13	10	0	80	0	0	488.11348563417965
13	10	1	20	0	0	488.11348563417965
5	1	0	78	0	0	488.259626814262
5	1	1	22	0	0	488.259626814262
4	10	0	82	0	0	488.5341330669018
4	10	1	18	0	0	488.5341330669018
5	14	0	83	0	0	488.8113436282734
5	14	1	17	0	0	488.8113436282734
13	11	0	77	0	0	490.45922502084676
13	11	1	23	0	0	490.45922502084676
14	6	0	86	0	0	491.21042714213337
14	6	1	14	0	0	491.21042714213337
6	3	0	75	0	0	491.46500489597315
6	3	1	25	0	0	491.46500489597315
14	9	0	80	0	0	491.95924032364775
14	9	1	20	4	4	491.95924032364775
12	14	0	77	0	0	494.65063314371594
12	14	1	23	0	0	494.65063314371594
7	1	0	85	0	0	496.371502453637
7	1	1	15	0	0	496.371502453637
1	3	0	86	0	0	496.7036821359835
1	3	1	14	0	0	496.7036821359835
8	10	0	75	0	0	496.8573916286554
8	10	1	25	2	2	496.8573916286554
7	6	0	86	0	0	499.52673281790425
7	6	1	14	1	1	499.52673281790425
13	7	0	82	0	0	502.4974425306286
13	7	1	18	0	0	502.4974425306286
4	7	0	80	0	0	503.4103070143418
4	7	1	20	0	0	503.4103070143418
6	13	0	82	0	0	503.59518908479487
6	13	1	18	0	0	503.59518908479487
7	13	0	83	0	0	503.9830628326849
7	13	1	17	0	0	503.9830628326849
5	11	0	77	0	0	505.0418511957079
5	11	1	23	0	0	505.0418511957079
2	13	0	80	0	0	505.054656812012
2	13	1	20	0	0	505.054656812012
13	5	0	79	0	0	506.4516558109043
13	5	1	21	0	0	506.4516558109043
7	3	0	83	0	0	506.55096786112153
7	3	1	17	0	0	506.55096786112153
9	2	0	87	0	0	507.29313415880694
9	2	1	13	0	0	507.29313415880694
14	8	0	79	0	0	507.5150638917626
14	8	1	21	0	0	507.5150638917626
11	3	0	73	0	0	508.5873579963892
11	3	1	27	2	2	508.5873579963892
10	11	0	75	0	0	508.82443904406887
10	11	1	25	0	0	508.82443904406887
9	3	0	76	0	0	508.8872869540311
9	3	1	24	0	0	508.8872869540311
5	2	0	80	0	0	509.47499276101536
5	2	1	20	0	0	509.47499276101536
