03-10-2015 16-21-05
Fiber utilization

Fiber	Requests	SimTime	Utilization(%)
10 11	1000	19.83140684030058	0.1	0.1
11 9	1000	19.83140684030058	0.45	0.45
2 12	1000	19.83140684030058	0.38	0.38
14 1	1000	19.83140684030058	0.25	0.25
13 1	1000	19.83140684030058	0.34	0.34
1 14	1000	19.83140684030058	0.27	0.27
11 10	1000	19.83140684030058	0.16	0.16
1 13	1000	19.83140684030058	0.39	0.39
2 1	1000	19.83140684030058	0.21	0.21
1 2	1000	19.83140684030058	0.24	0.24
9 11	1000	19.83140684030058	0.34	0.34
3 13	1000	19.83140684030058	0.42	0.42
12 3	1000	19.83140684030058	0.34	0.34
8 3	1000	19.83140684030058	0.21	0.21
3 12	1000	19.83140684030058	0.26	0.26
3 8	1000	19.83140684030058	0.33	0.33
14 2	1000	19.83140684030058	0.16	0.16
12 2	1000	19.83140684030058	0.54	0.54
2 14	1000	19.83140684030058	0.26	0.26
9 4	1000	19.83140684030058	0.17	0.17
13 3	1000	19.83140684030058	0.49	0.49
4 9	1000	19.83140684030058	0.35	0.35
4 12	1000	19.83140684030058	0.31	0.31
10 4	1000	19.83140684030058	0.31	0.31
4 10	1000	19.83140684030058	0.15	0.15
9 7	1000	19.83140684030058	0.44	0.44
7 10	1000	19.83140684030058	0.3	0.3
10 7	1000	19.83140684030058	0.2	0.2
7 13	1000	19.83140684030058	0.63	0.63
6 14	1000	19.83140684030058	0.36	0.36
11 6	1000	19.83140684030058	0.44	0.44
7 9	1000	19.83140684030058	0.46	0.46
14 6	1000	19.83140684030058	0.41	0.41
6 8	1000	19.83140684030058	0.3	0.3
12 5	1000	19.83140684030058	0.37	0.37
12 4	1000	19.83140684030058	0.44	0.44
8 6	1000	19.83140684030058	0.22	0.22
6 11	1000	19.83140684030058	0.64	0.64
5 11	1000	19.83140684030058	0.25	0.25
11 5	1000	19.83140684030058	0.24	0.24
5 12	1000	19.83140684030058	0.36	0.36
13 7	1000	19.83140684030058	0.6	0.6
10 11	1000	40.2592825064693	0.21	0.21
11 9	1000	40.2592825064693	0.47	0.47
2 12	1000	40.2592825064693	0.45	0.45
14 1	1000	40.2592825064693	0.22	0.22
13 1	1000	40.2592825064693	0.43	0.43
1 14	1000	40.2592825064693	0.28	0.28
11 10	1000	40.2592825064693	0.25	0.25
1 13	1000	40.2592825064693	0.51	0.51
2 1	1000	40.2592825064693	0.26	0.26
1 2	1000	40.2592825064693	0.25	0.25
9 11	1000	40.2592825064693	0.32	0.32
3 13	1000	40.2592825064693	0.39	0.39
12 3	1000	40.2592825064693	0.34	0.34
8 3	1000	40.2592825064693	0.17	0.17
3 12	1000	40.2592825064693	0.24	0.24
3 8	1000	40.2592825064693	0.3	0.3
14 2	1000	40.2592825064693	0.25	0.25
12 2	1000	40.2592825064693	0.45	0.45
2 14	1000	40.2592825064693	0.2	0.2
9 4	1000	40.2592825064693	0.2	0.2
13 3	1000	40.2592825064693	0.5	0.5
4 9	1000	40.2592825064693	0.41	0.41
4 12	1000	40.2592825064693	0.33	0.33
10 4	1000	40.2592825064693	0.25	0.25
4 10	1000	40.2592825064693	0.14	0.14
9 7	1000	40.2592825064693	0.44	0.44
7 10	1000	40.2592825064693	0.12	0.12
10 7	1000	40.2592825064693	0.21	0.21
7 13	1000	40.2592825064693	0.45	0.45
6 14	1000	40.2592825064693	0.37	0.37
11 6	1000	40.2592825064693	0.63	0.63
7 9	1000	40.2592825064693	0.43	0.43
14 6	1000	40.2592825064693	0.45	0.45
6 8	1000	40.2592825064693	0.37	0.37
12 5	1000	40.2592825064693	0.37	0.37
12 4	1000	40.2592825064693	0.59	0.59
8 6	1000	40.2592825064693	0.41	0.41
6 11	1000	40.2592825064693	0.55	0.55
5 11	1000	40.2592825064693	0.34	0.34
11 5	1000	40.2592825064693	0.25	0.25
5 12	1000	40.2592825064693	0.4	0.4
13 7	1000	40.2592825064693	0.59	0.59
10 11	1000	60.218619964711976	0.15	0.15
11 9	1000	60.218619964711976	0.38	0.38
2 12	1000	60.218619964711976	0.46	0.46
14 1	1000	60.218619964711976	0.39	0.39
13 1	1000	60.218619964711976	0.31	0.31
1 14	1000	60.218619964711976	0.1	0.1
11 10	1000	60.218619964711976	0.22	0.22
1 13	1000	60.218619964711976	0.33	0.33
2 1	1000	60.218619964711976	0.16	0.16
1 2	1000	60.218619964711976	0.21	0.21
9 11	1000	60.218619964711976	0.46	0.46
3 13	1000	60.218619964711976	0.28	0.28
12 3	1000	60.218619964711976	0.37	0.37
8 3	1000	60.218619964711976	0.36	0.36
3 12	1000	60.218619964711976	0.3	0.3
3 8	1000	60.218619964711976	0.38	0.38
14 2	1000	60.218619964711976	0.22	0.22
12 2	1000	60.218619964711976	0.38	0.38
2 14	1000	60.218619964711976	0.3	0.3
9 4	1000	60.218619964711976	0.17	0.17
13 3	1000	60.218619964711976	0.41	0.41
4 9	1000	60.218619964711976	0.37	0.37
4 12	1000	60.218619964711976	0.59	0.59
10 4	1000	60.218619964711976	0.34	0.34
4 10	1000	60.218619964711976	0.12	0.12
9 7	1000	60.218619964711976	0.38	0.38
7 10	1000	60.218619964711976	0.21	0.21
10 7	1000	60.218619964711976	0.13	0.13
7 13	1000	60.218619964711976	0.43	0.43
6 14	1000	60.218619964711976	0.56	0.56
11 6	1000	60.218619964711976	0.64	0.64
7 9	1000	60.218619964711976	0.29	0.29
14 6	1000	60.218619964711976	0.47	0.47
6 8	1000	60.218619964711976	0.48	0.48
12 5	1000	60.218619964711976	0.28	0.28
12 4	1000	60.218619964711976	0.51	0.51
8 6	1000	60.218619964711976	0.39	0.39
6 11	1000	60.218619964711976	0.5	0.5
5 11	1000	60.218619964711976	0.2	0.2
11 5	1000	60.218619964711976	0.31	0.31
5 12	1000	60.218619964711976	0.37	0.37
13 7	1000	60.218619964711976	0.45	0.45
10 11	1000	81.04072182213203	0.155	0.155
11 9	1000	81.04072182213203	0.22	0.22
2 12	1000	81.04072182213203	0.41	0.41
14 1	1000	81.04072182213203	0.19	0.19
13 1	1000	81.04072182213203	0.415	0.415
1 14	1000	81.04072182213203	0.175	0.175
11 10	1000	81.04072182213203	0.135	0.135
1 13	1000	81.04072182213203	0.185	0.185
2 1	1000	81.04072182213203	0.07	0.07
1 2	1000	81.04072182213203	0.315	0.315
9 11	1000	81.04072182213203	0.5	0.5
3 13	1000	81.04072182213203	0.305	0.305
12 3	1000	81.04072182213203	0.37	0.37
8 3	1000	81.04072182213203	0.23	0.23
3 12	1000	81.04072182213203	0.41	0.41
3 8	1000	81.04072182213203	0.35	0.35
14 2	1000	81.04072182213203	0.255	0.255
12 2	1000	81.04072182213203	0.14	0.14
2 14	1000	81.04072182213203	0.13	0.13
9 4	1000	81.04072182213203	0.205	0.205
13 3	1000	81.04072182213203	0.485	0.485
4 9	1000	81.04072182213203	0.325	0.325
4 12	1000	81.04072182213203	0.295	0.295
10 4	1000	81.04072182213203	0.14	0.14
4 10	1000	81.04072182213203	0.05	0.05
9 7	1000	81.04072182213203	0.31	0.31
7 10	1000	81.04072182213203	0.17	0.17
10 7	1000	81.04072182213203	0.155	0.155
7 13	1000	81.04072182213203	0.435	0.435
6 14	1000	81.04072182213203	0.38	0.38
11 6	1000	81.04072182213203	0.63	0.63
7 9	1000	81.04072182213203	0.455	0.455
14 6	1000	81.04072182213203	0.395	0.395
6 8	1000	81.04072182213203	0.505	0.505
12 5	1000	81.04072182213203	0.075	0.075
12 4	1000	81.04072182213203	0.41	0.41
8 6	1000	81.04072182213203	0.25	0.25
6 11	1000	81.04072182213203	0.295	0.295
5 11	1000	81.04072182213203	0.305	0.305
11 5	1000	81.04072182213203	0.315	0.315
5 12	1000	81.04072182213203	0.075	0.075
13 7	1000	81.04072182213203	0.425	0.425
10 11	1000	101.07145967095872	0.18	0.18
11 9	1000	101.07145967095872	0.39	0.39
2 12	1000	101.07145967095872	0.495	0.495
14 1	1000	101.07145967095872	0.335	0.335
13 1	1000	101.07145967095872	0.48	0.48
1 14	1000	101.07145967095872	0.22	0.22
11 10	1000	101.07145967095872	0.31	0.31
1 13	1000	101.07145967095872	0.39	0.39
2 1	1000	101.07145967095872	0.125	0.125
1 2	1000	101.07145967095872	0.29	0.29
